topic,top_terms
1,district; houses; board; council; london; whitechapel; report; county; county council; london county; dwellings; whitechapel district
2,penalty; offence; offence penalty; bye; day; penalties; foregoing bye; bye laws; laws; bye law; foregoing; person
3,pox; small pox; vaccination; small; disease; cases; vaccinated; deaths; diseases; fever; hospital; report
4,statement; year; carried; summonses; seen; large; herewith; hand herewith; work; attention paid; fines costs; seized destroyed
5,shall; construct; shall construct; receptacle; building; connection; person shall; watercloset; building shall; privy; pipe; person
6,street; summons; withdrawn; summons withdrawn; defective; costs; dirty; yard; walls; work summons; workshop; fined
7,authority; sanitary authority; section; shall; sanitary; act; sec; fine; exceeding; notice; exceeding pounds; person
