report_year,passage_id,word_count,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,dominant_topic,dominant_weight
1890,1890_0002,183,0.0,0.05539939163018218,0.00039799853113890125,0.007418600221875294,0.0,0.0,0.0,2,0.05539939163018218
1890,1890_0007,179,0.0,0.0,0.0,0.15629088022934956,0.0,0.0,0.0,4,0.15629088022934956
1890,1890_0008,212,0.006830158848034517,0.028331661942591905,0.0,0.06928031996154674,0.0,0.0,0.02800616268528402,4,0.06928031996154674
1890,1890_0010,181,0.0,0.031963027222707954,0.0190170956959644,0.0,0.02632091907187395,0.0,0.002032369959060117,2,0.031963027222707954
1890,1890_0011,173,0.0,0.046911622554290974,0.015609671149375592,0.009459578928052437,0.012566468770768299,0.0,0.0,2,0.046911622554290974
1890,1890_0016,170,0.00264998581006966,0.08681226283273061,0.0,0.0,0.0,0.0015336104886877985,0.0028824503926904678,2,0.08681226283273061
1890,1890_0017,181,0.021306022170497672,0.0798845096933919,0.0,0.0,0.0,0.0,0.0,2,0.0798845096933919
1890,1890_0018,197,0.023412378385515256,0.05249646124230857,0.0,0.01498473112995,0.0,0.0,0.0,2,0.05249646124230857
1890,1890_0019,158,0.038799319294239666,0.05694882656476687,0.0,0.018368995779873287,0.0,0.0056670846875207905,0.0,2,0.05694882656476687
1890,1890_0020,169,0.06240838753442223,0.029831819439087862,0.0,0.007200838219376128,0.003972087989725943,0.0,0.013503779247727828,1,0.06240838753442223
1890,1890_0021,113,0.046420544414642016,0.022496479047490255,0.0,0.010993246753501384,0.0,0.0,0.017639947732559273,1,0.046420544414642016
1890,1890_0022,150,0.013851859360490677,0.0881490617255304,0.0,0.0,0.007946483451228125,0.0,0.0,2,0.0881490617255304
1890,1890_0023,133,0.01222943762607813,0.04305839077387149,0.027362727542411105,0.0,0.016352480592361066,0.0,0.0,2,0.04305839077387149
1890,1890_0024,197,0.012647309096532975,0.0665368115614543,0.009243949594410154,0.0,0.0,0.0,0.0003365286577812719,2,0.0665368115614543
1890,1890_0025,202,0.0,0.09235290726166108,0.0007164329485474707,0.0,0.0,0.0,0.045333917691702336,2,0.09235290726166108
1890,1890_0028,178,0.0001685149734785131,0.023387955133304432,0.0304521034290164,0.008658909254545962,0.015010812809532452,0.0,0.005946429768759862,3,0.0304521034290164
1890,1890_0029,207,0.0,0.01859513843922955,0.03156863049824986,0.0009961955483177513,0.04413647216717035,0.0,0.016294531471520393,5,0.04413647216717035
1890,1890_0030,185,0.0,0.013412180963903628,0.04193097879548671,0.0,0.02240345274885824,0.0,0.013268885076481928,3,0.04193097879548671
1890,1890_0032,170,5.8494564957344334e-05,0.039402139541356795,0.0046270201749334505,0.0035736942300253326,0.01898764931844758,0.00434061868494755,0.04677446614023487,7,0.04677446614023487
1891,1891_0012,185,0.0,0.08229978127048951,0.00934056747478922,0.01668055245245335,0.0027140402613875137,0.0,0.0033041168647702447,2,0.08229978127048951
1891,1891_0014,170,0.0,0.08636001214047576,0.0,0.00747630916232198,0.0,0.0,0.0,2,0.08636001214047576
1891,1891_0018,211,0.00022994746223711375,0.10407497834922218,0.0,0.0,0.0003641303780026897,0.013581193127087204,0.021658267663462027,2,0.10407497834922218
1891,1891_0019,217,0.04070226861608001,0.06403656296848768,0.0,0.0041297828475822754,0.001963064108617958,0.0,0.0031955201590666443,2,0.06403656296848768
1891,1891_0020,198,0.11081305381362337,0.0,0.0,0.0012652927580733833,0.0,0.0,0.0,1,0.11081305381362337
1891,1891_0021,202,0.11296976691499087,0.0,0.0,0.0,0.008458623864629707,0.0,0.0,1,0.11296976691499087
1891,1891_0022,175,0.09900369197921836,0.0,0.013196277780306666,0.0,0.033782504109270556,0.0,0.01025142747900066,1,0.09900369197921836
1891,1891_0023,146,0.07077905014087309,0.015210062389005788,0.0,0.0,0.010208060833600428,0.02437172786491547,0.0,1,0.07077905014087309
1891,1891_0024,226,0.06316419995467884,0.025392233474720447,0.0011991165955666711,0.0,0.0,0.005034258594222683,0.0,1,0.06316419995467884
