k,seed_a,seed_b,mean_cosine,median_cosine,min_cosine,mean_top12_jaccard,min_top12_jaccard
5,1,21,0.7087888118288106,0.6867784931271202,0.45089592981087295,0.3792982456140351,0.2
5,1,42,0.7199660848527286,0.8840556571417884,0.11956651265587004,0.4162586773839971,0.043478260869565216
5,1,84,0.7921096167428362,0.8680680170493357,0.49037161985446764,0.5080672268907562,0.2
5,1,100,0.7304592443232271,0.8093709682407297,0.44135246755265384,0.43809523809523804,0.14285714285714285
5,21,42,0.7388727072162375,0.7891781765486177,0.3629259770068479,0.49437229437229435,0.09090909090909091
5,21,84,0.7843440831428456,0.8635870013460323,0.4175697601675064,0.49263157894736836,0.2
5,21,100,0.7108883848549578,0.7566205288443502,0.4379991901974776,0.35994397759103636,0.14285714285714285
5,42,84,0.7354403724800198,0.7805175547756031,0.20962307932048846,0.4739057362075266,0.043478260869565216
5,42,100,0.7608305562523761,0.7994335296159473,0.45646239927920607,0.4379264214046823,0.043478260869565216
5,84,100,0.7045968025493196,0.7505476366717065,0.5274694699930915,0.4204481792717087,0.14285714285714285
