k,reference_seed,reference_topic,reference_top_terms,mean_cosine_across_seeds,median_cosine_across_seeds,min_cosine_across_seeds,mean_top12_jaccard_across_seeds,min_top12_jaccard_across_seeds,matched_top_terms_by_seed
5,42,1,authority; shall; sanitary authority; sanitary; section; offence; person; sec; act; pounds; notice; liable,0.7733216873891217,0.8650784333036645,0.13645583367247716,0.64,0.0,1:authority; shall; sanitary authority; sanitary; section; offence; person; sec; act; pounds; notice; liable || 21:authority; section; sanitary authority; shall; sanitary; act; sec; fine; exceeding; notice; exceeding pounds; person || 42:authority; shall; sanitary authority; sanitary; section; offence; person; sec; act; pounds; notice; liable || 84:pox; small pox; vaccination; small; disease; cases; vaccinated; deaths; diseases; fever; hospital; report || 100:authority; section; sanitary authority; shall; sanitary; act; sec; fine; exceeding; notice; exceeding pounds; person
5,42,2,district; board; report; houses; whitechapel; year; london; cases; council; small; disease; pox,0.971648364624808,0.9758914782580319,0.9064592831708301,0.7680672268907563,0.4117647058823529,1:district; board; report; houses; whitechapel; year; london; cases; council; small; disease; pox || 21:district; board; year; report; cases; houses; whitechapel; london; disease; work; health; small || 42:district; board; report; houses; whitechapel; year; london; cases; council; small; disease; pox || 84:district; houses; board; council; london; act; whitechapel; report; county; county council; london county; new || 100:district; board; year; report; cases; houses; whitechapel; london; disease; work; health; small
5,42,3,shall; construct; shall construct; receptacle; building; connection; person shall; watercloset; building shall; privy; pipe; soil,0.9626521913480115,0.9997742530727717,0.8137129375594742,0.7910931174089069,0.2631578947368421,1:shall; construct; shall construct; receptacle; building; connection; person shall; watercloset; building shall; privy; pipe; soil || 21:shall; construct; shall construct; receptacle; building; connection; person shall; watercloset; building shall; privy; pipe; person || 42:shall; construct; shall construct; receptacle; building; connection; person shall; watercloset; building shall; privy; pipe; soil || 84:shall; person; authority; sanitary authority; premises; construct; person shall; receptacle; shall construct; bye; sanitary; refuse || 100:shall; construct; shall construct; receptacle; building; connection; person shall; watercloset; building shall; privy; pipe; person
5,42,4,statement; year; carried; summonses; seen; large; hand herewith; herewith; work; cases; seized destroyed; fines costs,0.619455184818682,0.9996371419571961,0.048819029242294934,0.5428571428571429,0.0,1:statement; year; carried; summonses; seen; large; hand herewith; herewith; work; cases; seized destroyed; fines costs || 21:penalty; offence; bye; offence penalty; day; bye laws; penalties; foregoing bye; laws; bye law; foregoing; person || 42:statement; year; carried; summonses; seen; large; hand herewith; herewith; work; cases; seized destroyed; fines costs || 84:statement; year; carried; summonses; seen; large; hand herewith; herewith; work; articles seized; seized destroyed; attention paid || 100:penalty; offence; bye; offence penalty; day; bye laws; penalties; foregoing bye; laws; bye law; foregoing; person
5,42,5,street; summons; withdrawn; summons withdrawn; defective; costs; dirty; yard; walls; work summons; workshop; fined,0.9998841258244789,0.9998678376177415,0.9996849624718197,1.0,1.0,1:street; summons; withdrawn; summons withdrawn; defective; costs; dirty; yard; walls; work summons; workshop; fined || 21:street; summons; withdrawn; summons withdrawn; defective; costs; dirty; yard; walls; work summons; workshop; fined || 42:street; summons; withdrawn; summons withdrawn; defective; costs; dirty; yard; walls; work summons; workshop; fined || 84:street; summons; withdrawn; summons withdrawn; defective; costs; dirty; yard; walls; work summons; workshop; fined || 100:street; summons; withdrawn; summons withdrawn; defective; costs; dirty; yard; walls; work summons; workshop; fined
