report_year,passage_id,word_count,topic_1,topic_2,topic_3,topic_4,topic_5,dominant_topic,dominant_weight
1890,1890_0002,183,0.0,0.048758308570468874,0.0004115291141538952,0.0,0.0,2,0.048758308570468874
1890,1890_0007,179,0.0,0.08783706533006877,0.0,0.0,0.0,2,0.08783706533006877
1890,1890_0008,212,0.00017795351957861953,0.07108486386444689,0.0,0.0257091437851125,0.0,2,0.07108486386444689
1890,1890_0010,181,0.0,0.024738316467540163,0.01950912974590677,0.0013066628706286953,0.02850075401207975,5,0.02850075401207975
1890,1890_0011,173,0.0,0.04243698931274043,0.015755237241197484,0.0,0.014203645477573553,2,0.04243698931274043
1890,1890_0016,170,0.005990777613834225,0.060877332465367494,0.0,0.004058520505083319,0.0,2,0.060877332465367494
1890,1890_0017,181,0.015098135208214396,0.06246161679224727,0.0,0.0,0.0,2,0.06246161679224727
1890,1890_0018,197,0.01375433899521352,0.05549840167880802,0.0,0.0,0.0,2,0.05549840167880802
1890,1890_0019,158,0.03102915758366676,0.061978852884395225,0.0,0.0,0.0,2,0.061978852884395225
1890,1890_0020,169,0.03727081228187339,0.03985368126838321,0.000995909296387343,0.011857317211742558,0.0075100557166670545,2,0.03985368126838321
1890,1890_0021,113,0.026787099066366248,0.035455249990656655,0.0,0.015912805843668457,0.0,2,0.035455249990656655
1890,1890_0022,150,0.007086680512274272,0.0679556467961794,0.0,0.0,0.01271015275397682,2,0.0679556467961794
1890,1890_0023,133,0.0032877125946991635,0.029529731784215488,0.03144654775600098,0.001315674036921255,0.021313542048710134,3,0.03144654775600098
1890,1890_0024,197,0.00709416555289096,0.05211795517351672,0.01152689165272428,0.0002982162248262714,0.0,2,0.05211795517351672
1890,1890_0025,202,0.0,0.0700213393862567,0.001530775510687724,0.04192580227620987,0.0,2,0.0700213393862567
1890,1890_0028,178,0.0,0.024548167416563876,0.030500845661426416,0.004839635373409065,0.015875836390078123,3,0.030500845661426416
1890,1890_0029,207,0.0,0.014602658575228142,0.03170028212302763,0.015032524762460872,0.04684987892046199,5,0.04684987892046199
1890,1890_0030,185,0.0,0.009379104736369607,0.04219564582906903,0.012367732587422728,0.024256480488642252,3,0.04219564582906903
