report_year,passage_id,word_count,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,dominant_topic,dominant_weight
1890,1890_0002,183,0.0,0.0543791562288343,0.00017949131435160385,0.007255112665939285,0.0,0.0,2,0.0543791562288343
1890,1890_0007,179,0.0,0.0,0.0,0.15151501306484141,0.0,0.0,4,0.15151501306484141
1890,1890_0008,212,0.0,0.029677034392597966,0.0,0.06889529812102861,0.0029955116863200223,0.02406923262637254,4,0.06889529812102861
1890,1890_0010,181,0.02458150233096516,0.0314932146338861,0.01966687694050104,0.0,0.0,0.0016575799156431086,2,0.0314932146338861
1890,1890_0011,173,0.01178049949278106,0.04597147658900293,0.01588034034653066,0.008769391660040968,0.0,0.0,2,0.04597147658900293
1890,1890_0016,170,0.0,0.08646639034640834,0.0,0.0,0.00293181362283047,0.002429635168890962,2,0.08646639034640834
1890,1890_0017,181,0.0,0.08453845848590172,0.0,0.0,0.01328535491771767,0.0,2,0.08453845848590172
1890,1890_0018,197,0.0,0.057403026670346274,0.0,0.01523740435287673,0.014864406952137041,0.0,2,0.057403026670346274
1890,1890_0019,158,0.0,0.06238811187545808,0.0,0.018766636803838662,0.03537296387699428,0.0,2,0.06238811187545808
1890,1890_0020,169,0.006615159106203497,0.038466460492394744,0.0009442327726061949,0.011954514162914808,0.04410406027463379,0.012512112921762686,5,0.04410406027463379
1890,1890_0021,113,0.0,0.029362006456473452,0.0,0.01599530765718549,0.032302609395644104,0.015897590703054524,5,0.032302609395644104
1890,1890_0022,150,0.008654974546348752,0.09148288028611877,0.0,0.0,0.004994819493883896,0.0,2,0.09148288028611877
1890,1890_0023,133,0.016648377554829456,0.046108230546334054,0.031404430763015634,0.0,0.001803556927950955,0.0,2,0.046108230546334054
1890,1890_0024,197,0.0,0.06913996180936138,0.011165406765488536,0.0,0.006251501568155258,0.0004174699419221577,2,0.06913996180936138
1890,1890_0025,202,0.0,0.09039057595770325,0.00034013184246390585,0.0,0.0,0.039710455835707065,2,0.09039057595770325
1890,1890_0028,178,0.013973784272276954,0.02361840411445418,0.03136371215460097,0.00834965087285911,0.0,0.004923287928877024,3,0.03136371215460097
1890,1890_0029,207,0.0412094940793012,0.01842878509618178,0.03234568262809749,0.0007318625669811196,0.0,0.014214099152875448,1,0.0412094940793012
1890,1890_0030,185,0.02100136288992048,0.01304232334068391,0.043056001391385886,0.0,0.0,0.011589591112128992,3,0.043056001391385886
1890,1890_0032,170,0.017616335887541423,0.03895471343368016,0.004602716689468823,0.003620880334423809,0.0015995927245014139,0.04078642850141011,6,0.04078642850141011
1891,1891_0012,185,0.0024660413576176906,0.08104099180467575,0.009238861801853859,0.015636316556513666,0.0,0.002875819747124614,2,0.08104099180467575
1891,1891_0014,170,0.0,0.08556514584093582,0.0,0.0065995786658694265,0.0,0.0,2,0.08556514584093582
1891,1891_0018,211,0.00010098358278813315,0.10296265161316621,0.0,0.0,0.006878069314740015,0.01852811782318557,2,0.10296265161316621
1891,1891_0019,217,0.003506074501864444,0.06902362090780116,0.0,0.004555235733024559,0.033440988904842525,0.0031780411846920897,2,0.06902362090780116
1891,1891_0020,198,0.0004110052502723205,0.0047992150853224756,0.0,0.0071527366266857205,0.10191316613920987,0.0,5,0.10191316613920987
1891,1891_0021,202,0.012974706989628848,0.0,0.0,0.0,0.10259568235243682,0.002238466026387475,5,0.10259568235243682
1891,1891_0022,175,0.03628853193976942,0.0,0.01677854045157797,0.0,0.08904076003313505,0.012992710590732339,5,0.08904076003313505
1891,1891_0023,146,0.011095577685317048,0.01884033010693,0.0,0.0,0.08216462889028756,0.0,5,0.08216462889028756
1891,1891_0024,226,1.4556667986407886e-05,0.02939765348260759,0.0018094146181779497,0.0,0.06277076708637343,0.0,5,0.06277076708637343
1891,1891_0025,194,0.0024395823335200224,0.013709181023560465,0.0,0.0,0.1298661309521091,0.0,5,0.1298661309521091
1891,1891_0026,151,0.002929664873617333,0.0,0.0,0.0,0.10545206857833671,0.0,5,0.10545206857833671
1891,1891_0027,114,0.0,0.0021269920950015937,0.00018601618466424752,0.0,0.11642002139864772,0.0,5,0.11642002139864772
1891,1891_0028,234,0.0,0.0,0.03274978372937578,0.0,0.11487597343536757,0.0,5,0.11487597343536757
1891,1891_0029,197,0.0,0.0,0.02332763152580148,0.0008604563250673933,0.08015573067924801,0.005215487179342415,5,0.08015573067924801
