k,reference_seed,reference_topic,reference_top_terms,mean_cosine_across_seeds,median_cosine_across_seeds,min_cosine_across_seeds,mean_top12_jaccard_across_seeds,min_top12_jaccard_across_seeds,matched_top_terms_by_seed
7,42,1,authority; sanitary authority; section; shall; sanitary; act; sec; fine; exceeding; notice; exceeding pounds; person,0.9988321919110514,0.9999999998283211,0.9941609614849529,0.9692307692307691,0.8461538461538461,1:authority; sanitary authority; section; shall; sanitary; act; sec; fine; exceeding; notice; exceeding pounds; person || 21:authority; sanitary authority; section; shall; sanitary; act; sec; fine; exceeding; notice; exceeding pounds; person || 42:authority; sanitary authority; section; shall; sanitary; act; sec; fine; exceeding; notice; exceeding pounds; person || 84:authority; sanitary authority; section; shall; sanitary; act; sec; fine; exceeding; notice; exceeding pounds; person || 100:authority; section; sanitary authority; shall; act; sanitary; sec; fine; exceeding; notice; exceeding pounds; pounds
7,42,2,district; houses; board; council; london; whitechapel; report; county; county council; london county; dwellings; whitechapel district,0.9805834309967741,0.999999999962232,0.9029171562610455,0.8823529411764707,0.4117647058823529,1:district; houses; board; council; london; whitechapel; report; county; county council; london county; dwellings; whitechapel district || 21:district; houses; board; council; london; whitechapel; report; county; county council; london county; dwellings; whitechapel district || 42:district; houses; board; council; london; whitechapel; report; county; county council; london county; dwellings; whitechapel district || 84:district; houses; board; council; london; whitechapel; report; county; county council; london county; dwellings; whitechapel district || 100:district; board; report; houses; whitechapel; london; year; cases; council; small; pox; disease
7,42,3,shall; construct; shall construct; receptacle; building; connection; person shall; watercloset; building shall; privy; pipe; person,0.9976771025434434,0.9999999999360917,0.9883855134791618,0.9692307692307691,0.8461538461538461,1:shall; construct; shall construct; receptacle; building; connection; person shall; watercloset; building shall; privy; pipe; person || 21:shall; construct; shall construct; receptacle; building; connection; person shall; watercloset; building shall; privy; pipe; person || 42:shall; construct; shall construct; receptacle; building; connection; person shall; watercloset; building shall; privy; pipe; person || 84:shall; construct; shall construct; receptacle; building; connection; person shall; watercloset; building shall; privy; pipe; person || 100:construct; shall; shall construct; receptacle; building; connection; person shall; watercloset; building shall; pipe; privy; soil
7,42,4,pox; small pox; vaccination; small; disease; cases; vaccinated; deaths; diseases; fever; hospital; report,0.8231907484328846,0.9999999999312101,0.11595374404791287,0.8,0.0,1:pox; small pox; vaccination; small; disease; cases; vaccinated; deaths; diseases; fever; hospital; report || 21:pox; small pox; vaccination; small; disease; cases; vaccinated; deaths; diseases; fever; hospital; report || 42:pox; small pox; vaccination; small; disease; cases; vaccinated; deaths; diseases; fever; hospital; report || 84:pox; small pox; vaccination; small; disease; cases; vaccinated; deaths; diseases; fever; hospital; report || 100:lodging house; lodging; landlord; lodger; house; room; landlord lodging; house shall; let; shall; cause; premises
7,42,5,street; summons; withdrawn; summons withdrawn; defective; costs; dirty; yard; walls; work summons; workshop; fined,0.9999525199153154,0.9999999999998277,0.9997625995801305,1.0,1.0,1:street; summons; withdrawn; summons withdrawn; defective; costs; dirty; yard; walls; work summons; workshop; fined || 21:street; summons; withdrawn; summons withdrawn; defective; costs; dirty; yard; walls; work summons; workshop; fined || 42:street; summons; withdrawn; summons withdrawn; defective; costs; dirty; yard; walls; work summons; workshop; fined || 84:street; summons; withdrawn; summons withdrawn; defective; costs; dirty; yard; walls; work summons; workshop; fined || 100:street; summons; withdrawn; summons withdrawn; defective; costs; dirty; walls; yard; work summons; workshop; fined
7,42,6,penalty; offence; offence penalty; bye; day; penalties; foregoing bye; bye laws; laws; bye law; foregoing; person,0.9998418296799383,0.9999999999939632,0.9992091485029146,0.9692307692307691,0.8461538461538461,1:penalty; offence; offence penalty; bye; day; penalties; foregoing bye; bye laws; laws; bye law; foregoing; person || 21:penalty; offence; offence penalty; bye; day; penalties; foregoing bye; bye laws; laws; bye law; foregoing; person || 42:penalty; offence; offence penalty; bye; day; penalties; foregoing bye; bye laws; laws; bye law; foregoing; person || 84:penalty; offence; offence penalty; bye; day; penalties; foregoing bye; bye laws; laws; bye law; foregoing; person || 100:penalty; offence; offence penalty; bye; day; penalties; foregoing bye; bye laws; laws; bye law; foregoing; offence sanitary
7,42,7,statement; year; carried; summonses; seen; large; herewith; hand herewith; work; attention paid; fines costs; seized destroyed,0.9999453499061579,0.9999999999975399,0.9997267495964991,0.9692307692307691,0.8461538461538461,1:statement; year; carried; summonses; seen; large; herewith; hand herewith; work; attention paid; fines costs; seized destroyed || 21:statement; year; carried; summonses; seen; large; herewith; hand herewith; work; attention paid; fines costs; seized destroyed || 42:statement; year; carried; summonses; seen; large; herewith; hand herewith; work; attention paid; fines costs; seized destroyed || 84:statement; year; carried; summonses; seen; large; herewith; hand herewith; work; attention paid; fines costs; seized destroyed || 100:statement; year; carried; summonses; seen; large; hand herewith; herewith; work; cases; fines costs; attention paid
