k,seed_a,seed_b,mean_cosine,median_cosine,min_cosine,mean_top12_jaccard,min_top12_jaccard
8,1,21,0.8765966861864097,0.9952346525598401,0.1431562522967676,0.7163461538461539,0.0
8,1,42,0.8765964872084477,0.9952340851668878,0.1431562902112109,0.7163461538461539,0.0
8,1,84,0.8610552485524667,0.995511442639086,0.10439535299000571,0.6812782805429864,0.0
8,1,100,0.8765964940444838,0.995234092313267,0.14315635057970905,0.7163461538461539,0.0
8,21,42,0.9999999990381805,0.9999999999526352,0.9999999949755488,1.0,1.0
8,21,84,0.8722068332369111,0.994078496860007,0.30403708802042617,0.6744505494505495,0.0
8,21,100,0.9999999990227549,0.99999999995195,0.9999999949228107,1.0,1.0
8,42,84,0.8722089442014525,0.9940723452001989,0.3040405439142705,0.6744505494505495,0.0
8,42,100,0.9999999999995499,0.999999999999716,0.9999999999989458,1.0,1.0
8,84,100,0.8722090015414112,0.994072303881417,0.3040406475962069,0.6744505494505495,0.0
