k,reference_seed,reference_topic,reference_top_terms,mean_cosine_across_seeds,median_cosine_across_seeds,min_cosine_across_seeds,mean_top12_jaccard_across_seeds,min_top12_jaccard_across_seeds,matched_top_terms_by_seed
8,42,1,street; summons; withdrawn; summons withdrawn; defective; costs; dirty; walls; yard; work summons; workshop; fined,0.9781697409274148,0.9999999999911726,0.891014768312696,0.9,0.5,1:summons; street; workshop; summons withdrawn; unfit; withdrawn; unfit human; fined; costs; human; work summons; street exposing || 21:street; summons; withdrawn; summons withdrawn; defective; costs; dirty; walls; yard; work summons; workshop; fined || 42:street; summons; withdrawn; summons withdrawn; defective; costs; dirty; walls; yard; work summons; workshop; fined || 84:street; summons; withdrawn; summons withdrawn; defective; costs; dirty; walls; yard; work summons; workshop; fined || 100:street; summons; withdrawn; summons withdrawn; defective; costs; dirty; walls; yard; work summons; workshop; fined
8,42,2,district; houses; council; board; london; whitechapel; report; county; county council; london county; dwellings; whitechapel district,0.9389598757682414,0.9999999976484008,0.698882582144452,0.8285714285714285,0.14285714285714285,1:district; houses; board; council; london; whitechapel; report; county; county council; london county; dwellings; whitechapel district || 21:district; houses; council; board; london; whitechapel; report; county; county council; london county; dwellings; whitechapel district || 42:district; houses; council; board; london; whitechapel; report; county; county council; london county; dwellings; whitechapel district || 84:council; classes; working; housing; working classes; housing working; area; county; county council; lane; 1890; bell lane || 100:district; houses; council; board; london; whitechapel; report; county; county council; london county; dwellings; whitechapel district
8,42,3,construct; shall; shall construct; receptacle; building; connection; person shall; watercloset; building shall; pipe; privy; soil,0.9953599467538814,0.9999999999969115,0.987734690004305,0.9384615384615385,0.8461538461538461,1:shall; construct; shall construct; receptacle; building; connection; person shall; watercloset; building shall; privy; person; pipe || 21:construct; shall; shall construct; receptacle; building; connection; person shall; watercloset; building shall; pipe; privy; soil || 42:construct; shall; shall construct; receptacle; building; connection; person shall; watercloset; building shall; pipe; privy; soil || 84:shall; construct; shall construct; receptacle; building; connection; person shall; watercloset; building shall; privy; person; pipe || 100:construct; shall; shall construct; receptacle; building; connection; person shall; watercloset; building shall; pipe; privy; soil
8,42,4,pox; small pox; vaccination; small; disease; cases; vaccinated; deaths; diseases; fever; report; year,0.9981892181517578,0.9999999949755488,0.9911819242336416,0.9120879120879121,0.7142857142857143,1:pox; small pox; vaccination; small; disease; cases; vaccinated; deaths; diseases; fever; hospital; report || 21:pox; small pox; vaccination; small; disease; cases; vaccinated; deaths; diseases; fever; report; year || 42:pox; small pox; vaccination; small; disease; cases; vaccinated; deaths; diseases; fever; report; year || 84:pox; small pox; vaccination; small; disease; cases; vaccinated; deaths; fever; diseases; hospital; diphtheria || 100:pox; small pox; vaccination; small; disease; cases; vaccinated; deaths; diseases; fever; report; year
8,42,5,penalty; offence; offence penalty; bye; day; penalties; foregoing bye; bye laws; bye law; laws; foregoing; case continuing,0.9997501417049814,0.99999999999277,0.9993641702833159,0.9384615384615385,0.8461538461538461,1:penalty; offence; offence penalty; bye; day; penalties; foregoing bye; bye laws; laws; bye law; foregoing; person || 21:penalty; offence; offence penalty; bye; day; penalties; foregoing bye; bye laws; bye law; laws; foregoing; case continuing || 42:penalty; offence; offence penalty; bye; day; penalties; foregoing bye; bye laws; bye law; laws; foregoing; case continuing || 84:penalty; offence; offence penalty; bye; day; penalties; bye laws; foregoing bye; laws; bye law; foregoing; person || 100:penalty; offence; offence penalty; bye; day; penalties; foregoing bye; bye laws; bye law; laws; foregoing; case continuing
8,42,6,authority; section; sanitary authority; shall; act; sanitary; sec; fine; exceeding; notice; exceeding pounds; pounds,0.9983028274784044,0.9999999999409881,0.994551371284595,0.9692307692307693,0.8461538461538461,1:authority; sanitary authority; section; shall; sanitary; act; sec; fine; exceeding; notice; exceeding pounds; person || 21:authority; section; sanitary authority; shall; act; sanitary; sec; fine; exceeding; notice; exceeding pounds; pounds || 42:authority; section; sanitary authority; shall; act; sanitary; sec; fine; exceeding; notice; exceeding pounds; pounds || 84:authority; section; sanitary authority; shall; sanitary; act; sec; fine; exceeding; notice; exceeding pounds; pounds || 100:authority; section; sanitary authority; shall; act; sanitary; sec; fine; exceeding; notice; exceeding pounds; pounds
8,42,7,statement; year; carried; summonses; seen; large; herewith; hand herewith; work; seized destroyed; attention paid; fines costs,0.9999175711137751,0.99999999979537,0.9996485725661175,0.9384615384615385,0.8461538461538461,1:statement; year; carried; summonses; seen; large; hand herewith; herewith; work; articles seized; attention paid; seized destroyed || 21:statement; year; carried; summonses; seen; large; herewith; hand herewith; work; seized destroyed; attention paid; fines costs || 42:statement; year; carried; summonses; seen; large; herewith; hand herewith; work; seized destroyed; attention paid; fines costs || 84:statement; year; carried; summonses; seen; large; herewith; hand herewith; seized destroyed; fines costs; attention paid; articles seized || 100:statement; year; carried; summonses; seen; large; herewith; hand herewith; work; seized destroyed; attention paid; fines costs
8,42,8,lodging house; landlord; lodging; lodger; house; room; landlord lodging; house shall; let; shall; cause; premises,0.689439366817753,0.9999999999642822,0.1431562902112109,0.6,0.0,1:defective; street; dirty; walls ceilings; ceilings; walls; water; summons; floor; withdrawn; costs; filthy || 21:lodging house; landlord; lodging; lodger; house; room; landlord lodging; house shall; let; shall; cause; premises || 42:lodging house; landlord; lodging; lodger; house; room; landlord lodging; house shall; let; shall; cause; premises || 84:district; houses; board; report; london; year; whitechapel; water; new; health; supply; whitechapel district || 100:lodging house; landlord; lodging; lodger; house; room; landlord lodging; house shall; let; shall; cause; premises
