report_year,passage_id,word_count,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,dominant_topic,dominant_weight
1890,1890_0002,183,0.07536698815986681,0.0008803730253313334,0.0,0.0,0.0,0.0,0.016398873228413477,1,0.07536698815986681
1890,1890_0007,179,0.0,0.0,0.0,0.0,0.0,0.0,0.34564827126558534,7,0.34564827126558534
1890,1890_0008,212,0.03856443982441186,0.0,0.0,0.015982237981663892,0.05613363111276399,0.0,0.1531721511694326,7,0.1531721511694326
1890,1890_0010,181,0.04348288498002127,0.042165377437194645,0.05874456445893074,0.0,0.004071520535870334,0.0,0.0,3,0.05874456445893074
1890,1890_0011,173,0.06381853404537108,0.03460940672415974,0.028046932092402353,0.0,0.0,0.0,0.02091576955575757,1,0.06381853404537108
1890,1890_0016,170,0.11809094407117704,0.0,0.0,0.0062019535057491115,0.005775512825324274,0.002527438700505377,0.0,1,0.11809094407117704
1890,1890_0017,181,0.10866924380686675,0.0,0.0,0.04986310192013646,0.0,0.0,0.0,1,0.10866924380686675
1890,1890_0018,197,0.07141908290541425,0.0,0.0,0.054793321420975725,0.0,0.0,0.03312895290862842,1,0.07141908290541425
1890,1890_0019,158,0.07748007546964296,0.0,0.0,0.09080311714032176,0.0,0.009336019547974101,0.0406069255763114,4,0.09080311714032176
1890,1890_0020,169,0.040599464870898855,0.0,0.008865703376744426,0.1460418848996856,0.027062400397171706,0.0,0.015905185535525366,4,0.1460418848996856
1890,1890_0021,113,0.030619249472643537,0.0,0.0,0.10862969814111248,0.03535274385648074,0.0,0.02429093325738807,4,0.10862969814111248
1890,1890_0022,150,0.1199131919001372,0.0,0.017736908490730164,0.032414513295873575,0.0,0.0,0.0,1,0.1199131919001372
1890,1890_0023,133,0.05857157058076095,0.06067117635181993,0.03649777910430231,0.028620073322713314,0.0,0.0,0.0,2,0.06067117635181993
1890,1890_0024,197,0.09051459853759009,0.020497265203957445,0.0,0.029595496542499253,0.0006725919930728648,0.0,0.0,1,0.09051459853759009
1890,1890_0025,202,0.12563347798720556,0.0015855628666814321,0.0,0.0,0.09084715440560706,0.0,0.0,1,0.12563347798720556
