report_year,passage_id,word_count,topic_1,topic_2,topic_3,topic_4,dominant_topic,dominant_weight
1890,1890_0002,183,0.0,0.04873710597057437,0.0,0.006330176208933219,2,0.04873710597057437
1890,1890_0007,179,0.0,0.007501152902940664,0.0,0.10286523959717091,4,0.10286523959717091
1890,1890_0008,212,0.0,0.027194337447967322,0.0,0.07846258495180793,4,0.07846258495180793
1890,1890_0010,181,0.022956030863833736,0.026436173782038507,0.011681032666616343,0.002684798980779431,2,0.026436173782038507
1890,1890_0011,173,0.011287337998174028,0.04384599042840448,0.008240810051605457,0.0016749845569395633,2,0.04384599042840448
1890,1890_0016,170,0.0,0.08126571729678396,0.0,0.0,2,0.08126571729678396
1890,1890_0017,181,0.0,0.08461369961162128,0.0,0.0,2,0.08461369961162128
1890,1890_0018,197,0.0,0.0633509094834031,0.003904190215314401,0.008125898164571831,2,0.0633509094834031
1890,1890_0019,158,0.0,0.07756807486016681,0.012339413139335982,0.005530977267580284,2,0.07756807486016681
1890,1890_0020,169,0.006535700474449504,0.040324115092622695,0.03133072818591786,0.024186022693844986,2,0.040324115092622695
1890,1890_0021,113,0.0,0.033198229749668275,0.01457666663172966,0.029669965635812045,2,0.033198229749668275
1890,1890_0022,150,0.008319461891013687,0.0857174524106358,8.43402444586243e-05,0.0,2,0.0857174524106358
1890,1890_0023,133,0.01543932561652788,0.03942043921493897,0.025696930098880966,0.0,2,0.03942043921493897
1890,1890_0024,197,0.0,0.0638468390023122,0.011773772068883295,0.0,2,0.0638468390023122
1890,1890_0025,202,0.0,0.08077422710438631,0.0,0.02341415615167986,2,0.08077422710438631
1890,1890_0028,178,0.013103986707977251,0.018934879577425838,0.021108193610406136,0.011348537330363543,3,0.021108193610406136
1890,1890_0029,207,0.03817948562592101,0.013006117757362726,0.024453985954691195,0.01099313034953908,1,0.03817948562592101
1890,1890_0030,185,0.01987944123678754,0.007503462874838307,0.03234772582817395,0.007698160077889949,3,0.03234772582817395
1890,1890_0032,170,0.01743566763876503,0.03152792239838992,0.0032248121406726698,0.03368834876056068,4,0.03368834876056068
1891,1891_0012,185,0.0027534033589365205,0.07349309947787099,0.0003784172882422669,0.01627562288486742,2,0.07349309947787099
1891,1891_0014,170,0.0,0.08210663297399413,0.0,0.0,2,0.08210663297399413
1891,1891_0018,211,0.0011201877602060428,0.09813098070651259,0.0,0.010762932549413658,2,0.09813098070651259
1891,1891_0019,217,0.004054791396548963,0.07539504584806392,0.015343896609235698,0.004258942756466398,2,0.07539504584806392
1891,1891_0020,198,0.001855133230442748,0.01975969046275098,0.0725431440033012,0.008418463790890778,3,0.0725431440033012
1891,1891_0021,202,0.015339497233973768,0.016393844233803318,0.06508251602032787,0.0006896324583606248,3,0.06508251602032787
