report_year,passage_id,word_count,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,dominant_topic,dominant_weight
1890,1890_0002,183,0.0,0.05535664844382468,0.0015441556330856353,0.007588575259778232,0.0,0.0,0.0,0.0,2,0.05535664844382468
1890,1890_0007,179,0.0,0.0,0.0,0.16100040335248117,0.0,0.0,0.0,0.0,4,0.16100040335248117
1890,1890_0008,212,0.0,0.025979855563937098,0.0,0.07168751110905601,0.0,0.006081570536835416,0.02930537744551653,0.00901601080535738,4,0.07168751110905601
1890,1890_0010,181,0.02365237628228118,0.027432719434520296,0.013892219267792008,0.0,0.0,0.0,0.0019970489023241555,0.02067770755836168,2,0.027432719434520296
1890,1890_0011,173,0.011375255961865817,0.04516252566672641,0.014193215646881661,0.009700884522706774,0.0,0.0,0.0,0.006903530013817509,2,0.04516252566672641
1890,1890_0016,170,0.0,0.08469140025668537,0.0,0.0,0.0012858720005916825,0.0041292535465052935,0.0032125217866600217,0.004364603345412561,2,0.08469140025668537
1890,1890_0017,181,0.0,0.07872850368783055,0.0,0.0,0.0,0.024839129179119346,0.0,0.0018676557733786428,2,0.07872850368783055
1890,1890_0018,197,0.0,0.052431620256900936,0.0,0.015372775438627145,0.0,0.02849486922999019,0.0,0.0,2,0.052431620256900936
1890,1890_0019,158,0.0,0.05625678346530075,0.0,0.019701108864161508,0.005798845786563786,0.04560943405129225,0.0,0.0,2,0.05625678346530075
1890,1890_0020,169,0.0033086193779894844,0.02153838824191352,0.0,0.008210815293624578,0.0,0.05449920490521218,0.014415120357541666,0.05427052466743272,6,0.05449920490521218
1890,1890_0021,113,0.0,0.016907157658166652,0.0,0.012492879605369139,0.0,0.03978705271642485,0.018765143647810064,0.03734279566520138,6,0.03978705271642485
1890,1890_0022,150,0.007218988185862208,0.08659148110186489,0.0,0.0,0.0,0.015106991718928738,0.0,0.005819332794050766,2,0.08659148110186489
1890,1890_0023,133,0.014900793536988852,0.0422813296858858,0.025946433389757023,0.0,0.0,0.014283689458193609,0.0,0.005781970835668246,2,0.0422813296858858
1890,1890_0024,197,0.0,0.0641421934110226,0.007291924667362735,0.0,0.0,0.014040193797845112,0.00046017723323635475,0.010203935468421504,2,0.0641421934110226
1890,1890_0025,202,0.0,0.09224984961499175,0.00205501486878573,0.0,0.0,0.0,0.04726402321020865,0.0,2,0.09224984961499175
1890,1890_0028,178,0.01322460617686685,0.016415216404346608,0.021285826678616792,0.008533355574539906,0.0,0.0,0.0058646307045319545,0.03482465311843998,8,0.03482465311843998
