topic,top_terms
1,street; summons; withdrawn; summons withdrawn; defective; costs; dirty; yard; walls; work summons; workshop; fined
2,district; houses; board; council; london; whitechapel; act; report; county; county council; london county; local
3,shall; person; authority; sanitary authority; premises; construct; person shall; receptacle; shall construct; bye; sanitary; refuse
4,cases; disease; pox; small pox; year; vaccination; small; work; statement; infectious; diseases; carried
