k,seed_a,seed_b,mean_cosine,median_cosine,min_cosine,mean_top12_jaccard,min_top12_jaccard
7,1,21,0.6835763219874712,0.7609419995445815,0.04243666666942605,0.42444977991196475,0.0
7,1,42,0.7461852455271963,0.8388027088356269,0.30162945746075714,0.4368455074337427,0.0
7,1,84,0.6494874195251039,0.6770522654994673,0.4313198589915931,0.3318927571028411,0.14285714285714285
7,1,100,0.663939970576749,0.6315248333561808,0.2305706876139562,0.34022267946080037,0.043478260869565216
7,21,42,0.7097788675553323,0.8132140627180401,0.1759992447152317,0.49286738106613887,0.0
7,21,84,0.7215212764805647,0.8206170469811146,0.06571014064836278,0.4380552220888355,0.0
7,21,100,0.7055107991414042,0.7512950557964839,0.2901784319737353,0.37686864219371957,0.0
7,42,84,0.6418221626633932,0.6881382403457927,0.17605132496046993,0.255422168867547,0.0
7,42,100,0.6908885431124211,0.8040434815189249,0.3028066261423415,0.405029654882548,0.0
7,84,100,0.5970879770227696,0.709060860145346,0.07112088469894982,0.2887154861944778,0.0
