k,pairwise_mean_cosine,pairwise_median_cosine,worst_pair_min_cosine,pairwise_mean_top12_jaccard,worst_pair_min_top12_jaccard
4,0.8003016396847812,0.794297610794354,0.4864378245725236,0.45281336053007876,0.09090909090909091
5,0.7386296664243359,0.7943058530822824,0.11956651265587004,0.4420947575778643,0.043478260869565216
6,0.7123896497733082,0.7601113846252103,0.05727356467024801,0.39107002672623886,0.0
7,0.6809798583592406,0.7561185276705327,0.04243666666942605,0.37903692792026156,0.0
8,0.6346262089138934,0.7469462825107459,0.05576998894084401,0.34004011843811954,0.0
