k,seed_a,seed_b,mean_cosine,median_cosine,min_cosine,mean_top12_jaccard,min_top12_jaccard
7,1,21,0.999999999420483,0.9999999996873176,0.99999999821447,1.0,1.0
7,1,42,0.9999999992091172,0.999999999344438,0.9999999981870384,1.0,1.0
7,1,84,0.9999999991712396,0.9999999990146715,0.9999999975657591,1.0,1.0
7,1,100,0.8571597469407507,0.9941662596380143,0.11594609588022828,0.6851971557853911,0.0
7,21,42,0.999999999962757,0.9999999999939632,0.9999999998283211,1.0,1.0
7,21,84,0.999999999883771,0.9999999999394696,0.999999999541164,1.0,1.0
7,21,100,0.8571594724001786,0.9941627036099354,0.11595390096710588,0.6851971557853911,0.0
7,42,84,0.9999999999674415,0.999999999962232,0.9999999999265623,1.0,1.0
7,42,100,0.8571594104218024,0.9941609614849529,0.11595374404791287,0.6851971557853911,0.0
7,84,100,0.8571595393021444,0.9941599124669712,0.11595226024353206,0.6851971557853911,0.0
