report_year,topic_3,topic_4,topic_1,topic_2,topic_6
1890,0.10649096592703791,0.15256599573042504,0.38311903142392123,0.11945185309168871,0.0050041489756595175
1891,0.025789461393384137,0.6352197221684533,0.13858369093886383,0.04899019789797411,0.03489609362479425
1892,0.029305430933688943,0.11846835443568841,0.4287905872963811,0.044974461642485385,0.015568887369766284
1893,0.02966742613907825,0.10513106640884119,0.1197818389107422,0.5056265790856672,0.16123151552811818
1894,0.2724113642748173,0.029852441049287016,0.46767933457825595,0.011420279110637553,0.007989283716040067
1895,0.15533239193930065,0.20080900962013856,0.23431300341375752,0.027454726114163098,0.015268463740356054
1896,0.1091614659497474,0.08623881108856803,0.272178761145708,0.0278638871911524,0.015177996486414264
1897,0.17000305540110416,0.05081579344621276,0.3471620112938386,0.03892215793174618,0.009829818612714009
1898,0.1626029564872262,0.03579904266619272,0.3516073016977221,0.021199071617334767,0.0048784995977718
1899,0.08388983469818709,0.3023574138747246,0.40179485313901037,0.013407775842376717,0.023278176619825595
