k,pairwise_mean_cosine,pairwise_median_cosine,worst_pair_min_cosine,pairwise_mean_top12_jaccard,worst_pair_min_top12_jaccard
4,0.8288786334568826,0.7741175016498749,0.31125716690875666,0.6259954233409611,0.043478260869565216
5,0.7820364125598014,0.9758910359367841,0.048819029242294934,0.6150701640980278,0.0
6,0.9216147114102364,0.9999999995228863,0.051643963002279795,0.8469381598793364,0.0
7,0.9428638166679685,0.9999999991795547,0.11594609588022828,0.8740788623141563,0.0
8,0.9107469693032069,0.9952343724365535,0.10439535299000571,0.7853668390433096,0.0
