k,seed_a,seed_b,mean_cosine,median_cosine,min_cosine,mean_top12_jaccard,min_top12_jaccard
6,1,21,0.9999999999872721,0.9999999999975644,0.9999999999518765,1.0,1.0
6,1,42,0.8040366824293778,0.9549663064151677,0.05164483909487771,0.6173453996983409,0.0
6,1,84,0.9999999983140623,0.9999999995555443,0.9999999933751368,1.0,1.0
6,1,100,0.9999999999971685,0.9999999999982692,0.999999999993483,1.0,1.0
6,21,42,0.8040366491410279,0.9549663260069187,0.051644901181242764,0.6173453996983409,0.0
6,21,84,0.9999999980163802,0.9999999994902282,0.9999999921986925,1.0,1.0
6,21,100,0.9999999999949551,0.9999999999973,0.9999999999794833,1.0,1.0
6,42,84,0.8040371331706558,0.9549662006326696,0.051643963002279795,0.6173453996983409,0.0
6,42,100,0.8040366548461955,0.9549662998326227,0.05164487100516394,0.6173453996983409,0.0
6,84,100,0.9999999982052681,0.9999999995586484,0.999999992970153,1.0,1.0
