k,seed_a,seed_b,mean_cosine,median_cosine,min_cosine,mean_top12_jaccard,min_top12_jaccard
8,1,21,0.7445778554697255,0.8594724456062133,0.2694310092714872,0.490518816222141,0.043478260869565216
8,1,42,0.6427218811243718,0.7454497714322688,0.09797087468000433,0.3213935574229692,0.0
8,1,84,0.7283786907198652,0.7775034610371818,0.13555201675143322,0.415650792089411,0.043478260869565216
8,1,100,0.6487169263621355,0.775008179972061,0.16607954285464585,0.3347771894278827,0.043478260869565216
8,21,42,0.5375451698554417,0.6514099483511004,0.06218035998386519,0.2776152337365152,0.0
8,21,84,0.6928308952101917,0.8608877579206781,0.05646023027539639,0.42359986504723346,0.0
8,21,100,0.6396606416850181,0.748442793589223,0.08217540125357635,0.33666727560589454,0.0
8,42,84,0.5853168494866339,0.6840453038271634,0.05576998894084401,0.29767316017316015,0.0
8,42,100,0.5673490416353482,0.6267536682471297,0.16421740777632876,0.2364062621095869,0.0
8,84,100,0.5591641375902043,0.6088988845722896,0.1171504948148678,0.266099032546401,0.0
