k,seed_a,seed_b,mean_cosine,median_cosine,min_cosine,mean_top12_jaccard,min_top12_jaccard
6,1,21,0.7278149117158511,0.756428434294572,0.44502395352659985,0.4417154740684152,0.09090909090909091
6,1,42,0.7485354149703561,0.8683896877075878,0.26219511094741327,0.40642135642135635,0.09090909090909091
6,1,84,0.8164801567469381,0.8720241759746703,0.4799682480458163,0.4688602531313529,0.043478260869565216
6,1,100,0.6142166544185678,0.6130738952460302,0.44549088266541464,0.2575884899414311,0.09090909090909091
6,21,42,0.8156708330039731,0.8484099457063816,0.572958776991452,0.5900560224089636,0.2
6,21,84,0.6990583449149169,0.6781053557946829,0.41234903823669794,0.36173271173271165,0.09090909090909091
6,21,100,0.6931468970865864,0.7072954230051911,0.5639144869391878,0.344305281921381,0.09090909090909091
6,42,84,0.73111634492044,0.862369473922526,0.05727356467024801,0.3818753142282554,0.0
6,42,100,0.7004107924851183,0.7637943349558487,0.40098396978519446,0.40158730158730155,0.14285714285714285
6,84,100,0.5774461474703344,0.6067914536917917,0.3356759351707178,0.2565580618212197,0.0
