k,seed_a,seed_b,mean_cosine,median_cosine,min_cosine,mean_top12_jaccard,min_top12_jaccard
4,1,21,0.8381733724129637,0.8313932857344596,0.7139371083397983,0.5529411764705883,0.2
4,1,42,0.9382738352998277,0.9361777033885605,0.8973858482565057,0.6936813186813188,0.5
4,1,84,0.7578933544797297,0.755824203627645,0.5820477532691515,0.38095238095238093,0.14285714285714285
4,1,100,0.7789721524090258,0.8085850863982315,0.5225012833404756,0.4856612685560054,0.2631578947368421
4,21,42,0.8374474311170579,0.8642403089706072,0.6833342969238996,0.5392326971274339,0.2631578947368421
4,21,84,0.8012454394328492,0.779890518730088,0.728703960316764,0.3762987012987013,0.09090909090909091
4,21,100,0.7968058619993343,0.7800101351904765,0.7102977034480631,0.38245614035087716,0.2631578947368421
4,42,84,0.7309371985372397,0.6910576418768348,0.6774553295663818,0.3476190476190476,0.14285714285714285
4,42,100,0.7731759996193154,0.8115710787735761,0.4864378245725236,0.4476190476190476,0.14285714285714285
4,84,100,0.750091751540469,0.758012134426199,0.64296036678045,0.32167182662538696,0.2
